# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=6 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.0 1 exp/mono/1.mdl - |" "ark:gunzip -c exp/mono/fsts.2.gz|" "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split10/2/utt2spk scp:data/train/split10/2/cmvn.scp scp:data/train/split10/2/feats.scp ark:- | add-deltas  ark:- ark:- |" "ark,t:|gzip -c >exp/mono/ali.2.gz" 
# Started at Mon Apr 29 12:53:58 AEST 2019
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=6 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.0 1 exp/mono/1.mdl - |' 'ark:gunzip -c exp/mono/fsts.2.gz|' 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split10/2/utt2spk scp:data/train/split10/2/cmvn.scp scp:data/train/split10/2/feats.scp ark:- | add-deltas  ark:- ark:- |' 'ark,t:|gzip -c >exp/mono/ali.2.gz' 
gmm-boost-silence --boost=1.0 1 exp/mono/1.mdl - 
LOG (gmm-boost-silence[5.5.294-06484]:main():gmm-boost-silence.cc:93) Boosted weights for 3 pdfs, by factor of 1
LOG (gmm-boost-silence[5.5.294-06484]:main():gmm-boost-silence.cc:103) Wrote model to -
apply-cmvn --utt2spk=ark:data/train/split10/2/utt2spk scp:data/train/split10/2/cmvn.scp scp:data/train/split10/2/feats.scp ark:- 
add-deltas ark:- ark:- 
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCMG0_SI1142
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCMG0_SI1242
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCMG0_SI1872
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCMG0_SX162
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCMG0_SX252
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCMG0_SX342
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCMG0_SX432
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCMG0_SX72
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCMM0_SI1083
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCMM0_SI1957
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCMM0_SI453
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCMM0_SX183
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCMM0_SX273
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCMM0_SX363
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCMM0_SX420
