# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.0 1 exp/mono/10.mdl - |" "ark:gunzip -c exp/mono/fsts.2.gz|" "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split10/2/utt2spk scp:data/train/split10/2/cmvn.scp scp:data/train/split10/2/feats.scp ark:- | add-deltas  ark:- ark:- |" "ark,t:|gzip -c >exp/mono/ali.2.gz" 
# Started at Mon Apr 29 15:17:37 AEST 2019
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.0 1 exp/mono/10.mdl - |' 'ark:gunzip -c exp/mono/fsts.2.gz|' 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split10/2/utt2spk scp:data/train/split10/2/cmvn.scp scp:data/train/split10/2/feats.scp ark:- | add-deltas  ark:- ark:- |' 'ark,t:|gzip -c >exp/mono/ali.2.gz' 
gmm-boost-silence --boost=1.0 1 exp/mono/10.mdl - 
LOG (gmm-boost-silence[5.5.294-06484]:main():gmm-boost-silence.cc:93) Boosted weights for 3 pdfs, by factor of 1
LOG (gmm-boost-silence[5.5.294-06484]:main():gmm-boost-silence.cc:103) Wrote model to -
apply-cmvn --utt2spk=ark:data/train/split10/2/utt2spk scp:data/train/split10/2/cmvn.scp scp:data/train/split10/2/feats.scp ark:- 
add-deltas ark:- ark:- 
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLC0_SI1615
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLC0_SI2245
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLC0_SI985
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLC0_SX175
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLC0_SX265
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLC0_SX355
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLC0_SX445
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLC0_SX85
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLC1_SI1048
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLC1_SI1678
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLC1_SI2308
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLC1_SX148
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLC1_SX238
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLC1_SX328
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLC1_SX418
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLC1_SX58
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLH0_SI1257
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLH0_SI1887
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKLH0_SI627
