# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.0 1 exp/mono/20.mdl - |" "ark:gunzip -c exp/mono/fsts.10.gz|" "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split10/10/utt2spk scp:data/train/split10/10/cmvn.scp scp:data/train/split10/10/feats.scp ark:- | add-deltas  ark:- ark:- |" "ark,t:|gzip -c >exp/mono/ali.10.gz" 
# Started at Mon Apr 29 15:17:42 AEST 2019
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.0 1 exp/mono/20.mdl - |' 'ark:gunzip -c exp/mono/fsts.10.gz|' 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split10/10/utt2spk scp:data/train/split10/10/cmvn.scp scp:data/train/split10/10/feats.scp ark:- | add-deltas  ark:- ark:- |' 'ark,t:|gzip -c >exp/mono/ali.10.gz' 
gmm-boost-silence --boost=1.0 1 exp/mono/20.mdl - 
LOG (gmm-boost-silence[5.5.294-06484]:main():gmm-boost-silence.cc:93) Boosted weights for 3 pdfs, by factor of 1
LOG (gmm-boost-silence[5.5.294-06484]:main():gmm-boost-silence.cc:103) Wrote model to -
apply-cmvn --utt2spk=ark:data/train/split10/10/utt2spk scp:data/train/split10/10/cmvn.scp scp:data/train/split10/10/feats.scp ark:- 
add-deltas ark:- ark:- 
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRTJ0_SI1551
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRTJ0_SI2032
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRTJ0_SI772
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRTJ0_SX142
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRTJ0_SX232
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRTJ0_SX322
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRTJ0_SX412
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRTJ0_SX52
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRWA0_SI1603
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRWA0_SI2233
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRWA0_SI973
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRWA0_SX163
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRWA0_SX253
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRWA0_SX343
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MRWA0_SX433
