# build-tree --verbose=1 --max-leaves=2500 --cluster-thresh=-1 exp/tri2/treeacc data/lang/phones/roots.int exp/tri2/questions.qst data/lang/topo exp/tri2/tree 
# Started at Mon Apr 29 16:37:12 AEST 2019
#
build-tree --verbose=1 --max-leaves=2500 --cluster-thresh=-1 exp/tri2/treeacc data/lang/phones/roots.int exp/tri2/questions.qst data/lang/topo exp/tri2/tree 
LOG (build-tree[5.5.294-06484]:main():build-tree.cc:104) Number of separate statistics is 29877
LOG (build-tree[5.5.294-06484]:BuildTree():build-tree.cc:161) BuildTree: before building trees, map has 48 leaves.
LOG (build-tree[5.5.294-06484]:SplitDecisionTree():build-tree-utils.cc:577) DoDecisionTreeSplit: split 1655 times, #leaves now 1703
LOG (build-tree[5.5.294-06484]:BuildTree():build-tree.cc:187) Setting clustering threshold to smallest split 300.059
VLOG[1] (build-tree[5.5.294-06484]:BuildTree():build-tree.cc:196) After decision tree split, num-leaves = 1703, like-impr = 5.37015 per frame over 367922 frames.
VLOG[1] (build-tree[5.5.294-06484]:BuildTree():build-tree.cc:200) Including just phones that were split, improvement is 5.37015 per frame over 367922 frames.
LOG (build-tree[5.5.294-06484]:BuildTree():build-tree.cc:215) BuildTree: removed 402 leaves.
VLOG[1] (build-tree[5.5.294-06484]:ClusterEventMapToNClustersRestrictedByMap():build-tree-utils.cc:914) Number of non-empty clusters in map = 48
VLOG[1] (build-tree[5.5.294-06484]:ClusterEventMapToNClustersRestrictedByMap():build-tree-utils.cc:915) Number of non-empty clusters = 1301
LOG (build-tree[5.5.294-06484]:BuildTree():build-tree.cc:231) BuildTree: Rounded num leaves to multiple of 8 by removing 5 leaves.
VLOG[1] (build-tree[5.5.294-06484]:BuildTree():build-tree.cc:256) Objf change due to clustering -0.243552 per frame.
VLOG[1] (build-tree[5.5.294-06484]:BuildTree():build-tree.cc:259) Normalizing over only split phones, this is: -0.243552 per frame.
VLOG[1] (build-tree[5.5.294-06484]:BuildTree():build-tree.cc:262) Num-leaves is now 1296
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 1, low count 22
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 18, low count 11
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 23, low count 58
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 25, low count 89
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 31, low count 71
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 33, low count 30
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 35, low count 72
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 40, low count 17
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 57, low count 56
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 68, low count 74
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 69, low count 46
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 82, low count 12
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 83, low count 14
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 84, low count 47
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 90, low count 57
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 92, low count 22
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 93, low count 83
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 94, low count 33
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 96, low count 18
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 100, low count 93
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 108, low count 98
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 121, low count 83
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 124, low count 67
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 128, low count 92
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 135, low count 15
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 146, low count 42
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 148, low count 34
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 149, low count 25
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 151, low count 80
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 157, low count 27
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 162, low count 90
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 166, low count 30
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 176, low count 74
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 180, low count 97
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 186, low count 89
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 202, low count 44
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 209, low count 94
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 211, low count 80
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 215, low count 81
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 222, low count 97
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 225, low count 10
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 228, low count 34
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 232, low count 76
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 233, low count 94
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 240, low count 9
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 248, low count 6
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 249, low count 64
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 260, low count 14
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 262, low count 71
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 264, low count 75
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 266, low count 6
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 276, low count 93
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 279, low count 84
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 282, low count 18
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 283, low count 54
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 286, low count 88
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 289, low count 80
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 291, low count 15
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 294, low count 52
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 295, low count 12
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 302, low count 65
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 310, low count 55
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 313, low count 26
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 321, low count 16
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 322, low count 14
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 331, low count 20
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 335, low count 20
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 341, low count 15
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 351, low count 29
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 352, low count 19
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 357, low count 59
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 362, low count 9
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 366, low count 55
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 371, low count 91
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 374, low count 6
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 377, low count 9
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 378, low count 74
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 387, low count 63
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 397, low count 88
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 403, low count 8
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 406, low count 77
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 407, low count 74
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 410, low count 75
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 418, low count 24
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 432, low count 81
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 435, low count 17
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 438, low count 40
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 440, low count 9
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 450, low count 40
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 451, low count 94
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 452, low count 98
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 462, low count 58
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 476, low count 84
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 477, low count 85
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 483, low count 20
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 484, low count 50
VLOG[1] (build-tree[5.5.294-06484]:main():build-tree.cc:143) For pdf-id 485, low count 30
