# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.0 1 exp/mono/26.mdl - |" "ark:gunzip -c exp/mono/fsts.1.gz|" "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split10/1/utt2spk scp:data/train/split10/1/cmvn.scp scp:data/train/split10/1/feats.scp ark:- | add-deltas  ark:- ark:- |" "ark,t:|gzip -c >exp/mono/ali.1.gz" 
# Started at Mon Apr 29 16:34:09 AEST 2019
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.0 1 exp/mono/26.mdl - |' 'ark:gunzip -c exp/mono/fsts.1.gz|' 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split10/1/utt2spk scp:data/train/split10/1/cmvn.scp scp:data/train/split10/1/feats.scp ark:- | add-deltas  ark:- ark:- |' 'ark,t:|gzip -c >exp/mono/ali.1.gz' 
gmm-boost-silence --boost=1.0 1 exp/mono/26.mdl - 
LOG (gmm-boost-silence[5.5.294-06484]:main():gmm-boost-silence.cc:93) Boosted weights for 3 pdfs, by factor of 1
LOG (gmm-boost-silence[5.5.294-06484]:main():gmm-boost-silence.cc:103) Wrote model to -
apply-cmvn --utt2spk=ark:data/train/split10/1/utt2spk scp:data/train/split10/1/cmvn.scp scp:data/train/split10/1/feats.scp ark:- 
add-deltas ark:- ark:- 
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAEM0_SI1392
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAEM0_SI2022
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAEM0_SI762
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAEM0_SX132
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAEM0_SX222
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAEM0_SX312
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAEM0_SX402
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAEM0_SX42
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAJW0_SI1263
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAJW0_SI1893
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAJW0_SI633
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAJW0_SX183
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAJW0_SX273
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAJW0_SX3
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAJW0_SX363
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FAJW0_SX93
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCJF0_SI1027
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCJF0_SI1657
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCJF0_SI648
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCJF0_SX127
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCJF0_SX217
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCJF0_SX307
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCJF0_SX37
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FCJF0_SX397
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FJKL0_SI1562
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FJKL0_SI2192
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FJKL0_SI932
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FJKL0_SX122
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FJKL0_SX212
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FJKL0_SX302
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FJKL0_SX32
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FJKL0_SX392
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKAA0_SI1208
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKAA0_SI1838
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKAA0_SI578
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKAA0_SX128
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKAA0_SX218
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKAA0_SX308
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKAA0_SX38
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FKAA0_SX398
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FLHD0_SI1344
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FLHD0_SI1827
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FLHD0_SI1974
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FLHD0_SX174
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FLHD0_SX264
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FLHD0_SX354
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FLHD0_SX444
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FLHD0_SX84
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FLKM0_SI1880
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FLKM0_SI620
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) FLKM0_SI686
