# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.0 1 exp/mono/9.mdl - |" "ark:gunzip -c exp/mono/fsts.7.gz|" "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split10/7/utt2spk scp:data/train/split10/7/cmvn.scp scp:data/train/split10/7/feats.scp ark:- | add-deltas  ark:- ark:- |" "ark,t:|gzip -c >exp/mono/ali.7.gz" 
# Started at Mon Apr 29 16:34:01 AEST 2019
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.0 1 exp/mono/9.mdl - |' 'ark:gunzip -c exp/mono/fsts.7.gz|' 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split10/7/utt2spk scp:data/train/split10/7/cmvn.scp scp:data/train/split10/7/feats.scp ark:- | add-deltas  ark:- ark:- |' 'ark,t:|gzip -c >exp/mono/ali.7.gz' 
gmm-boost-silence --boost=1.0 1 exp/mono/9.mdl - 
LOG (gmm-boost-silence[5.5.294-06484]:main():gmm-boost-silence.cc:93) Boosted weights for 3 pdfs, by factor of 1
LOG (gmm-boost-silence[5.5.294-06484]:main():gmm-boost-silence.cc:103) Wrote model to -
add-deltas ark:- ark:- 
apply-cmvn --utt2spk=ark:data/train/split10/7/utt2spk scp:data/train/split10/7/cmvn.scp scp:data/train/split10/7/feats.scp ark:- 
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPFU0_SI1258
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPFU0_SI1888
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPFU0_SI628
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPFU0_SX178
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPFU0_SX268
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPFU0_SX358
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPFU0_SX448
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPFU0_SX88
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGH0_SI1554
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGH0_SI675
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGH0_SI924
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGH0_SX114
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGH0_SX204
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGH0_SX24
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGH0_SX294
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGH0_SX384
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGR0_SI1410
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGR0_SI2040
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGR0_SI780
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGR0_SX150
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGR0_SX240
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGR0_SX330
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGR0_SX420
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPGR0_SX60
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRK0_SI1097
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRK0_SI1727
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRK0_SI467
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRK0_SX107
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRK0_SX17
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRK0_SX197
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRK0_SX287
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRK0_SX377
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRT0_SI1210
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRT0_SI495
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRT0_SI580
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRT0_SX130
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRT0_SX220
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRT0_SX310
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRT0_SX40
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPRT0_SX400
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPSW0_SI1067
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPSW0_SI1697
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPSW0_SI2327
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPSW0_SX167
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPSW0_SX24
LOG (gmm-align-compiled[5.5.294-06484]:main():gmm-align-compiled.cc:127) MPSW0_SX257
